dataset,model,parameters,fold,cross_entropy,auc
crabs,KNNClassifier,K=1,1,1.0708156087081744,
crabs,KNNClassifier,K=1,2,1.804324300673274,0.9453034582359843
crabs,KNNClassifier,K=1,3,1.6222856471928842,0.9435027652385305
crabs,KNNClassifier,K=11,1,0.3762003789332871,0.9362445043120858
crabs,KNNClassifier,K=11,2,0.3715440531740657,
crabs,KNNClassifier,K=11,3,,0.9139994220810755
crabs,KNNClassifier,K=101,1,0.676675208787234,0.669904115492351
crabs,KNNClassifier,K=101,2,0.6681801619685622,0.6656705220214447
crabs,KNNClassifier,K=101,3,0.6736247502968729,0.6766724503566609
crabs,KNNClassifier,K=301,1,,
crabs,KNNClassifier,K=301,2,,
crabs,KNNClassifier,K=301,3,,
