dataset,model,parameters,fold,cross_entropy,auc
iris,KNNClassifier,K=1,1,1.4417461355646861,0.977175925925926
iris,KNNClassifier,K=1,2,1.4417461355646861,0.9510505698005698
iris,KNNClassifier,K=1,3,1.4417461355646861,0.9542229284876345
iris,KNNClassifier,K=11,1,0.09088725543568638,0.9940767973856209
iris,KNNClassifier,K=11,2,0.0956132256858736,0.9977314814814814
iris,KNNClassifier,K=11,3,0.10445056096885781,0.9975490196078431
iris,KNNClassifier,K=101,1,0.9001172436292747,0.46788172339642936
iris,KNNClassifier,K=101,2,0.9038566784309731,0.47287078934137755
iris,KNNClassifier,K=101,3,0.8951320594165367,0.45946262558104656
iris,KNNClassifier,K=301,1,,
iris,KNNClassifier,K=301,2,,
iris,KNNClassifier,K=301,3,,
